time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,itt_route,institution_type,breakdown_topic,breakdown,trainee_number,trainee_percentage
201920,Academic year,National,E92000001,England,Drama,Postgraduate Total,Total,Degree Class,Other,7,3
201920,Academic year,National,E92000001,England,English,PG fee-funded,SCITT,Degree Class,Total Known,635,100
201920,Academic year,National,E92000001,England,English,PG fee-funded,SCITT,Degree Class,First,118,19
201920,Academic year,National,E92000001,England,English,PG fee-funded,SCITT,Degree Class,Upper Second,375,59
201920,Academic year,National,E92000001,England,English,PG fee-funded,SCITT,Degree Class,Lower Second,131,21
201920,Academic year,National,E92000001,England,English,PG fee-funded,SCITT,Degree Class,Other,11,2
201920,Academic year,National,E92000001,England,English,PG fee-funded,HEI,Degree Class,Total Known,1682,100
201920,Academic year,National,E92000001,England,English,PG fee-funded,HEI,Degree Class,First,288,17
201920,Academic year,National,E92000001,England,English,PG fee-funded,HEI,Degree Class,Upper Second,1031,61
201920,Academic year,National,E92000001,England,English,PG fee-funded,HEI,Degree Class,Lower Second,308,18
201920,Academic year,National,E92000001,England,English,PG fee-funded,HEI,Degree Class,Other,55,3
201920,Academic year,National,E92000001,England,English,PG Salaried High Potential ITT,HEI,Degree Class,Total Known,356,100
201920,Academic year,National,E92000001,England,English,PG Salaried High Potential ITT,HEI,Degree Class,First,85,24
201920,Academic year,National,E92000001,England,English,PG Salaried High Potential ITT,HEI,Degree Class,Upper Second,256,72
