time_period,time_identifier,geographic_level,country_code,country_name,itt_level,breakdown_topic,breakdown,trainee_number,trainee_percentage
201819,Academic year,National,E92000001,England,Undergraduate,Total,Primary,4804,100
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Male,611,13
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Female,4193,87
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Other Sex,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Primary Known Sex,4804,100
201819,Academic year,National,E92000001,England,Undergraduate,Total,Secondary,224,4
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Male,101,45
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Female,123,55
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Other Sex,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Secondary Known Sex,224,100
201819,Academic year,National,E92000001,England,Undergraduate,Sex,Total Known Sex,5028,100
201819,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Asian / Asian British,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Black / African / Caribbean / Black British,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Mixed / Multiple ethnic groups,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Other ethnic group,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Ethnicity,White,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Ethnicity,Total Known Ethnicity,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Age,Under 25,4496,89
201819,Academic year,National,E92000001,England,Undergraduate,Age,25 to 29,239,5
201819,Academic year,National,E92000001,England,Undergraduate,Age,30 to 34,124,2
201819,Academic year,National,E92000001,England,Undergraduate,Age,35 to 39,80,2
201819,Academic year,National,E92000001,England,Undergraduate,Age,40 to 44,55,1
201819,Academic year,National,E92000001,England,Undergraduate,Age,45 to 49,27,1
201819,Academic year,National,E92000001,England,Undergraduate,Age,50 to 54,8,0
201819,Academic year,National,E92000001,England,Undergraduate,Age,55 and over,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Disability,Declared,740,15
201819,Academic year,National,E92000001,England,Undergraduate,Disability,No Disability Declared,4289,85
201819,Academic year,National,E92000001,England,Undergraduate,Disability,Total Known Disability,5029,100
201819,Academic year,National,E92000001,England,Undergraduate,Nationality,UK,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Nationality,EEA,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Nationality,Other Nationality,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Nationality,Total Known Nationality,0,0
201819,Academic year,National,E92000001,England,Undergraduate,Degree Class,First,z,z
201819,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second,z,z
201819,Academic year,National,E92000001,England,Undergraduate,Degree Class,Upper Second Class Degree or Better,z,z
201819,Academic year,National,E92000001,England,Undergraduate,Degree Class,Lower Second,z,z
201819,Academic year,National,E92000001,England,Undergraduate,Degree Class,Other Degree Class,z,z
201819,Academic year,National,E92000001,England,Undergraduate,Degree Class,Total Known Degree Class,z,z
201920,Academic year,National,E92000001,England,Postgraduate,Total,Primary,12364,100
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Male,2130,17
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Female,10229,83
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Other Sex,5,0
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Primary Known Sex,12364,100
201920,Academic year,National,E92000001,England,Postgraduate,Total,Secondary,17056,58
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Male,6586,39
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Female,10447,61
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Other Sex,23,0
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Secondary Known Sex,17056,100
201920,Academic year,National,E92000001,England,Postgraduate,Sex,Total Known Sex,29420,100
201920,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Asian / Asian British,2915,10
201920,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Black / African / Caribbean / Black British,1067,4
201920,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Mixed / Multiple ethnic groups,880,3
201920,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Other ethnic group,353,1
201920,Academic year,National,E92000001,England,Postgraduate,Ethnicity,White,22579,81
201920,Academic year,National,E92000001,England,Postgraduate,Ethnicity,Total Known Ethnicity,27794,94
201920,Academic year,National,E92000001,England,Postgraduate,Age,Under 25,14771,1477100
201920,Academic year,National,E92000001,England,Postgraduate,Age,25 to 29,7118,711800
201920,Academic year,National,E92000001,England,Postgraduate,Age,30 to 34,2668,266800
201920,Academic year,National,E92000001,England,Postgraduate,Age,35 to 39,1713,171300
201920,Academic year,National,E92000001,England,Postgraduate,Age,40 to 44,1326,132600
201920,Academic year,National,E92000001,England,Postgraduate,Age,45 to 49,1078,107800
201920,Academic year,National,E92000001,England,Postgraduate,Age,50 to 54,530,53000
201920,Academic year,National,E92000001,England,Postgraduate,Age,55 and over,216,21600
201920,Academic year,National,E92000001,England,Postgraduate,Disability,Declared,3647,13
201920,Academic year,National,E92000001,England,Postgraduate,Disability,No Disability Declared,25100,87
201920,Academic year,National,E92000001,England,Postgraduate,Disability,Total Known Disability,28747,98
201920,Academic year,National,E92000001,England,Postgraduate,Nationality,UK,26562,92
201920,Academic year,National,E92000001,England,Postgraduate,Nationality,EEA,1470,5
201920,Academic year,National,E92000001,England,Postgraduate,Nationality,Other Nationality,806,3
201920,Academic year,National,E92000001,England,Postgraduate,Nationality,Total Known Nationality,28838,98
201920,Academic year,National,E92000001,England,Postgraduate,Degree Class,First,5647,20
201920,Academic year,National,E92000001,England,Postgraduate,Degree Class,Upper Second,15083,53
