time_period,time_identifier,geographic_level,country_code,country_name,itt_subject,breakdown_topic,breakdown,trainee_number,trainee_percentage
202324,Academic year,National,E92000001,England,Biology,Target,Postgraduate ITT Target,1050,88
202324,Academic year,National,E92000001,England,Biology,Total,Total Postgraduates,948,100
202324,Academic year,National,E92000001,England,Business Studies,Total,Postgraduates in scope of target,198,z
202324,Academic year,National,E92000001,England,Business Studies,Target,Postgraduate ITT Target,1195,17
202324,Academic year,National,E92000001,England,Business Studies,Total,Total Postgraduates,226,100
202324,Academic year,National,E92000001,England,Chemistry,Total,Postgraduates in scope of target,754,z
202324,Academic year,National,E92000001,England,Chemistry,Target,Postgraduate ITT Target,1195,63
202324,Academic year,National,E92000001,England,Chemistry,Total,Total Postgraduates,776,100
202324,Academic year,National,E92000001,England,Classics,Total,Postgraduates in scope of target,48,z
202324,Academic year,National,E92000001,England,Classics,Target,Postgraduate ITT Target,25,192
202324,Academic year,National,E92000001,England,Classics,Total,Total Postgraduates,69,100
202324,Academic year,National,E92000001,England,Computing,Total,Postgraduates in scope of target,411,z
202324,Academic year,National,E92000001,England,Computing,Target,Postgraduate ITT Target,1170,35
202324,Academic year,National,E92000001,England,Computing,Total,Total Postgraduates,422,100
202324,Academic year,National,E92000001,England,Design & Technology,Total,Postgraduates in scope of target,573,z
202324,Academic year,National,E92000001,England,Design & Technology,Target,Postgraduate ITT Target,2110,27
202324,Academic year,National,E92000001,England,Design & Technology,Total,Total Postgraduates,589,100
202324,Academic year,National,E92000001,England,Drama,Total,Postgraduates in scope of target,226,z
202324,Academic year,National,E92000001,England,Drama,Target,Postgraduate ITT Target,300,75
202324,Academic year,National,E92000001,England,Drama,Total,Total Postgraduates,242,100
202324,Academic year,National,E92000001,England,English,Total,Postgraduates in scope of target,2189,z
202324,Academic year,National,E92000001,England,English,Target,Postgraduate ITT Target,3035,72
202324,Academic year,National,E92000001,England,English,Total,Total Postgraduates,2260,100
202324,Academic year,National,E92000001,England,Geography,Total,Postgraduates in scope of target,822,z
202324,Academic year,National,E92000001,England,Geography,Target,Postgraduate ITT Target,1485,55
202324,Academic year,National,E92000001,England,Geography,Total,Total Postgraduates,839,100
202324,Academic year,National,E92000001,England,History,Total,Postgraduates in scope of target,931,z
202324,Academic year,National,E92000001,England,History,Target,Postgraduate ITT Target,800,116
202324,Academic year,National,E92000001,England,History,Total,Total Postgraduates,968,100
202324,Academic year,National,E92000001,England,Mathematics,Total,Postgraduates in scope of target,1804,z
